FECHA,LOTE,DENOMINACIÓN/     MARCA,CANTIDAD,%H,MALLAS,VERIFICACIÓN FISICA CAFÉ TOSTADO,NOTAS DE CATACIÓN,PUNTAJE,LIBERACIÓN DE LOTE,RESPONSABLE,VARIEDAD_ESTANDAR,PROCESO,ORIGEN,TIEMPO_TUESTE_MEDIAN,BENEFICIO
2023-11-01 00:00:00,01-110123,Madre Laura,10.0,10.5,14,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,SI,AC,Otros,,NAN,492.0,
24-01-23,01-240123,Madre Laura,40.0,10.5,14,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,SI,AC,Otros,,NAN,492.0,
2023-06-02 00:00:00,01-060223,Madre Laura,47.6,10.5,14,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,SI,AC,Otros,,NAN,492.0,
16-02-23,01-160223,Madre Laura,92.0,10.8,14,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,SI,AC,Otros,,NAN,492.0,
21-02-23,08-210223,Gesha Villabernarda,5.0,10.3,14,C,"Jazmin, mandarina, acidez jugosa, cuerpo sedoso y final frutal ",86,Si ,LFQ,Gesha,Honey ,JERICO,489.0,Honey 
2023-01-03 00:00:00,08-010323,Gesha Villabernarda,50.0,10.5,14,C,"Jazmin, mandarina, acidez jugosa, cuerpo sedoso y final frutal ",86,SI,AC,Gesha,Honey ,JERICO,489.0,Honey 
28-03-23,01-280323,Madre Laura,60.0,10.8,14,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,SI,AC,Otros,,NAN,492.0,
29-03-23,01-290323,Madre Laura,65.0,10.5,14,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,SI,AC,Otros,,NAN,492.0,
2023-10-04 00:00:00,01-100423,Madre Laura,120.0,10.8,14,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,SI,AC,Otros,,NAN,492.0,
24-04-23,01-240423,Madre Laura,101.45,10.5,14,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,SI,AC,Otros,,NAN,492.0,
2023-05-04 00:00:00,01-040523,Madre Laura,40.0,10.8,14,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,SI,AC,Otros,,NAN,492.0,
2023-06-15 00:00:00,01-150623,Madre Laura,10.0,10.5,14,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,SI,AC,Otros,,NAN,492.0,
2023-10-27 00:00:00,01-271023,Madre Laura,20.0,10.5,14,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,SI,AC,Otros,,NAN,492.0,
10-Ene-2024,01-100124,Madre Laura,20.0,10.4,14,c,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,SI,AC,Otros,,NAN,492.0,
02-Abril-2024,01-020424,Madre Laura,20.0,10.5,14,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,SI,AC,Otros,,NAN,492.0,
2024-06-20 00:00:00,01-200624,Madre Laura,14.0,10.8,14,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,SI,AC,Otros,,NAN,492.0,
2024-07-18 00:00:00,01-180724,Madre Laura,20.0,10.2,14,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,SI,Ac,Otros,,NAN,492.0,
,,,,,,,,,,,Otros,,NAN,492.0,
,,,,,,,,,,,Otros,,NAN,492.0,
,,,,,,,,,,,Otros,,NAN,492.0,
,,,,,,,,,,,Otros,,NAN,492.0,
,,,,,,,,,,,Otros,,NAN,492.0,
,,,,,,,,,,,Otros,,NAN,492.0,
,,,,,,,,,,,Otros,,NAN,492.0,
,,,,,,,,,,,Otros,,NAN,492.0,
Parámetros:,,,,,,,,,,,Otros,,NAN,492.0,
% H≤11.5,,,,,,,,,,,Otros,,NAN,492.0,
Granulometria Café UGQ: Tolerancia del 5% por debajo de las mallas 14,,,,,,,,,,,Otros,,NAN,492.0,
Verificación Fisica de Café Tostado: Máximo 5 granos quaker por muestra ,,,,,,,,,,,Otros,,NAN,492.0,
